"country","capital","latitude","longitude","country_id"
Afghanistan,Kabul,34.5289,69.1725,1
Albania,Tirana,41.3275,19.8189,2
Algeria,Algiers,36.7525,3.042,3
American Samoa,Pago Pago,-14.2781,-170.7025,4
Angola,Luanda,-8.8368,13.2343,5
Anguilla,The Valley,18.217,-63.0578,6
Antigua and Barbuda,Saint John's,17.1172,-61.8457,7
Argentina,Buenos Aires,-34.6051,-58.4004,8
Armenia,Yerevan,40.182,44.5146,9
Aruba,Oranjestad,12.524,-70.027,10
Australia,Canberra,-35.2835,149.1281,11
Austria,Vienna,48.2064,16.3707,12
Azerbaijan,Baku,40.3777,49.892,13
Bahrain,Manama,26.2154,50.5832,14
Bangladesh,Dhaka,23.7104,90.4074,15
Barbados,Bridgetown,13.1,-59.6167,16
Belarus,Minsk,53.9,27.5667,17
Belgium,Brussels,50.8467,4.3499,18
Belize,Belmopan,17.25,-88.7667,19
Benin,Porto-Novo,6.3654,2.4183,20
Bermuda,Hamilton,32.2915,-64.778,21
Bhutan,Thimphu,27.4661,89.6419,22
Bolivia,Sucre,-16.5,-68.15,23
Bosnia and Herzegovina,Sarajevo,43.8486,18.3564,24
Botswana,Gaborone,-24.6545,25.9086,25
Brazil,Brasília,-15.7797,-47.9297,26
British Indian Ocean Territory,Diego Garcia,-7.3195,72.4229,27
Brunei,Bandar Seri Begawan,4.8903,114.9403,28
Bulgaria,Sofia,42.6975,23.3242,29
Burkina Faso,Ouagadougou,12.3642,-1.5383,30
Burundi,Bujumbura,-3.3822,29.3644,31
Cambodia,Phnom Penh,11.5625,104.916,32
Cameroon,Yaoundé,3.8667,11.5167,33
Canada,Ottawa,45.4166,-75.698,34
Cape Verde,Praia,14.9167,-23.5167,35
Cayman Islands,George Town,19.2866,-81.3744,36
Central African Republic,Bangui,4.3612,18.555,37
Chad,N'Djamena,12.1067,15.0444,38
Chile,Santiago,-33.4569,-70.6483,39
China,Beijing,39.9075,116.3972,40
Christmas Island,Flying Fish Cove,-10.4167,105.7167,41
Cocos (Keeling) Islands,West Island,-12.1167,96.9,42
Colombia,Bogotá,4.6097,-74.0818,43
Comoros,Moroni,-11.7022,43.2551,44
Cook Islands,Avarua,-21.23,-159.76,45
Costa Rica,San José,9.9278,-84.0807,46
Croatia,Zagreb,45.8144,15.978,47
Cuba,Havana,23.1195,-82.3785,48
Cyprus,Nicosia,35.1595,33.3669,49
Czech Republic,Prague,50.0833,14.4167,50
Democratic Republic of the Congo,Kinshasa,-4.3276,15.3136,51
Denmark,Copenhagen,55.6759,12.5655,52
Djibouti,Djibouti,11.5877,43.1447,53
Dominica,Roseau,15.3017,-61.3881,54
Dominican Republic,Santo Domingo,18.4896,-69.9018,55
East Timor,Dili,-8.5594,125.5795,56
Ecuador,Quito,-0.2299,-78.525,57
Egypt,Cairo,30.0392,31.2394,58
El Salvador,San Salvador,13.6894,-89.1872,59
Equatorial Guinea,Malabo,3.75,8.7833,60
Eritrea,Asmara,15.3333,38.9333,61
Estonia,Tallinn,59.437,24.7535,62
Ethiopia,Addis Ababa,9.025,38.7469,63
Falkland Islands,Stanley,-51.7,-57.85,64
Faroe Islands,Tórshavn,62.0167,-6.7667,65
Federated States of Micronesia,Palikir,6.9167,158.15,66
Fiji,Suva,-18.1416,178.4415,67
Finland,Helsinki,60.1692,24.9402,68
France,Paris,48.8534,2.3488,69
French Guiana,Cayenne,4.9333,-52.3333,70
French Polynesia,Papeetē,-17.5333,-149.5667,71
French Southern and Antarctic Lands,Port-aux-Français,-49.35,70.2167,72
Gabon,Libreville,0.3925,9.4537,73
Georgia,Tbilisi,41.6941,44.8337,74
Germany,Berlin,52.5244,13.4105,75
Ghana,Accra,5.556,-0.1969,76
Gibraltar,Gibraltar,36.1447,-5.3526,77
Greece,Athens,37.9534,23.749,78
Greenland,Nuuk,64.1835,-51.7216,79
Grenada,St. George's,12.0564,-61.7485,80
Guadeloupe,Basse-Terre,15.9985,-61.7255,81
Guam,Hagåtña,13.4757,144.7489,82
Guatemala,Guatemala City,14.6127,-90.5307,83
Guernsey,St. Peter Port,49.45,-2.5333,84
Guinea,Conakry,9.5716,-13.6476,85
Guinea-Bissau,Bissau,11.8636,-15.5977,86
Guyana,Georgetown,6.8045,-58.1553,87
